RNA,Locus
XR_005035109.1,LOC110518492
XR_005035112.1,LOC110518492
XR_005035099.1,LOC110518492
XR_005035072.1,LOC110518492
XM_036938064.1,LOC110518492
XM_036989299.1,LOC118966328
XM_036936178.1,LOC118936500
XM_036989300.1,LOC110515163
XM_036938257.1,LOC110511657
XM_021596686.2,LOC110519733
XR_005034936.1,LOC110514871
XM_036937289.1,LOC110514871
XM_036937338.1,LOC110514871
XM_036937257.1,LOC110514871
XM_036934788.1,LOC110515172
XM_036934845.1,LOC110515172
XM_036934914.1,LOC110515172
XM_036934969.1,LOC110515172
XM_036934077.1,LOC118936775
XM_036934147.1,LOC118936775
XM_036934293.1,LOC118936775
XM_036934214.1,LOC118936775
XM_036934597.1,LOC110510777
XM_036989301.1,LOC118966367
XM_036936004.1,LOC118937372
XM_036935940.1,LOC118937370
XR_005035123.1,LOC118937721
XM_036938158.1,LOC118937721
XM_036989302.1,LOC118966382
XM_036989304.1,LOC118966397
XR_005034969.1,LOC110514908
XR_005034957.1,LOC110514908
XM_036937460.1,LOC110514908
XM_036937383.1,LOC110514908
XM_036937402.1,LOC110514908
XM_036935035.1,LOC118937321
XM_036935087.1,LOC118937321
XM_036935135.1,LOC118937321
XM_036935193.1,LOC118937321
XR_005034911.1,LOC110532571
XM_036937204.1,LOC110532571
XM_036937135.1,LOC110532571
XM_021592072.2,LOC110510920
XM_036936075.1,LOC110510920
XM_036938569.1,LOC110533060
XM_036938421.1,LOC110533060
XM_036938604.1,LOC110533060
XM_036938466.1,LOC110533060
XM_036938528.1,LOC110533060
XM_021617177.2,LOC110533060
XM_021617365.2,LOC110533192
XM_021617301.2,LOC110533192
XM_036938825.1,ftsj3
XM_036939042.1,asb3
XM_021617595.2,asb3
XM_021617682.2,asb3
XM_036939156.1,lim2.2
XM_021587979.2,lim2.2
XM_036939325.1,LOC110533496
XM_036939393.1,LOC110533496
XM_021618308.2,gipc3
XM_021618033.2,LOC110533608
XM_021618113.2,LOC110533608
XM_036939683.1,LOC110522842
XM_036939692.1,LOC110522842
XM_036939708.1,LOC110522842
XM_036939672.1,LOC110522842
XM_036940331.1,LOC110522842
XM_036940246.1,LOC110522842
XM_036940105.1,LOC110522842
XM_036939860.1,LOC110522842
XM_036940174.1,LOC110522842
XM_036940020.1,LOC110522842
XM_036939935.1,LOC110522842
XM_036939793.1,LOC110522842
XM_036939742.1,LOC110522842
XM_036940474.1,LOC110522842
XM_036940380.1,LOC110522842
XM_036940421.1,LOC110522842
XM_036940519.1,LOC110522842
XM_036940565.1,LOC110522842
XM_036940597.1,LOC110522842
XR_005053633.1,LOC118966751
XM_036940651.1,LOC110533913
XM_021618655.2,LOC110533997
XM_036940763.1,LOC110523899
XM_036940849.1,LOC110523899
XM_036940803.1,LOC110523899
XM_036940911.1,LOC110523899
XM_036940953.1,LOC110523899
XM_036941002.1,LOC110523899
XM_021618773.1,LOC110534079
XM_036989305.1,LOC110524396
XM_021618896.2,LOC110534151
XM_021619007.2,uts2d
XM_036941268.1,ccdc50
XM_036941304.1,ccdc50
XM_036941195.1,ccdc50
XM_036941231.1,ccdc50
XM_036941343.1,ccdc50
XM_021619544.2,LOC110534540
XM_021619656.2,LOC110534688
XM_021619755.2,cpox
XM_036941676.1,LOC110534884
XM_021619978.2,LOC110535080
XM_036941859.1,tab3
XM_036941990.1,tab3
XM_021619898.2,tab3
XM_021619862.2,tab3
XM_021620238.2,LOC110535183
XM_021620082.2,LOC110535183
XM_021620159.2,LOC110535183
XM_036942469.1,mindy4
XM_036942437.1,mindy4
XR_005035752.1,LOC118938491
XM_036989306.1,LOC110525067
XM_021620830.2,LOC110535561
XM_021620666.2,LOC110535561
XM_021620747.2,LOC110535561
XR_005035902.1,LOC118938690
XR_005035903.1,LOC118938690
XM_036942817.1,LOC110525281
XM_021621043.2,LOC110535719
XM_021620958.2,LOC110535719
XR_002475351.2,LOC110535978
XR_005035949.1,LOC110535978
XM_021621168.2,armh1
XM_021621329.2,armh1
XM_036943199.1,LOC110536107
XM_021621786.2,LOC110536107
XM_036943345.1,LOC110536107
XM_021621711.2,LOC110536107
XM_021621582.2,LOC110536036
XM_021622000.2,LOC110536225
XM_021622151.2,LOC110536225
XM_021621916.2,LOC110536225
XM_021622077.2,LOC110536225
XM_036943621.1,LOC110536612
XM_021622382.2,LOC110536612
XM_021622427.2,LOC110536612
XM_021622393.2,LOC110536612
XM_021622307.2,lrriq3
XM_021622505.2,LOC110536795
XM_021622570.2,LOC110536795
XM_036944082.1,LOC110536795
XM_021622671.2,LOC110536960
XR_005036075.1,LOC110537194
XR_005036077.1,LOC110537194
XM_036944236.1,LOC110537194
XM_036944149.1,LOC110537194
XM_036944295.1,LOC110537039
XM_021623210.2,ptgfr
XM_036944948.1,btf3l4
XM_021624163.2,btf3l4
XM_021624077.2,btf3l4
XR_002475642.2,zfyve9b
XR_005036094.1,zfyve9b
XR_005036095.1,zfyve9b
XM_036944473.1,zfyve9b
XM_021623414.2,zfyve9b
XM_021623534.2,zfyve9b
XM_036944630.1,zfyve9b
XM_021623738.2,zfyve9b
XM_021623328.2,zfyve9b
XM_021623933.2,elovl1b
XM_021623850.2,elovl1b
XR_005053623.1,LOC118966746
XR_002475703.2,LOC110537958
XR_002475701.2,LOC110537958
XM_021624571.2,LOC110537958
XM_021624652.2,LOC110537958
XM_021624818.2,LOC110537958
XM_021624483.2,LOC110537958
XM_021624280.2,mknk1
XM_021625024.2,LOC110538273
XM_036945550.1,LOC110526761
XM_021625264.2,LOC110538411
XM_021625378.2,LOC110538487
XM_036945747.1,LOC110538684
XM_036945729.1,LOC110538561
XM_036945735.1,LOC110538561
XM_021625573.2,LOC110538561
XM_021625843.2,LOC110538774
XM_021625776.2,LOC110538774
XM_021626026.2,LOC110538774
XM_021626148.2,LOC110539125
XM_021556168.2,LOC110485093
XM_021556221.2,LOC110485093
XM_021556316.2,LOC110485223
XM_021556420.2,LOC110485322
XM_036946195.1,pdzk1ip1
XM_036946308.1,LOC110511200
XM_036946261.1,LOC110511200
XR_005036476.1,LOC118939516
XM_036946449.1,LOC118939516
XM_036989307.1,LOC110527678
XM_036946379.1,tm2d1
XM_036946569.1,LOC110485551
XM_036946510.1,LOC110485551
XM_036946686.1,LOC110485551
XM_036946715.1,LOC110485551
XM_036946632.1,LOC110485551
XM_036946597.1,LOC110485551
XM_036946746.1,LOC110485551
XM_021589094.2,LOC110508285
XM_021556786.2,LOC110485648
XM_021557088.2,LOC110485648
XM_021556939.2,LOC110485648
XM_021556865.2,LOC110485648
XM_021557172.2,LOC110485648
XM_021557022.2,LOC110485648
XM_021557288.2,LOC110485979
XM_036947133.1,LOC110486057
XM_021557531.2,LOC110486121
XM_021557652.2,axdnd1
XM_036947346.1,tdrd5
XM_036947319.1,tdrd5
XM_021557898.2,LOC110486340
XM_036947452.1,LOC110486340
XM_036947517.1,LOC110486505
XM_036947567.1,LOC110486505
XM_036947684.1,LOC110486505
XM_036947621.1,LOC110486505
XM_036947732.1,LOC110486505
XM_021558308.2,gpr52
XM_021558432.2,LOC110486637
XM_021558509.2,LOC110486637
XM_021558831.2,LOC110486932
XR_002468256.2,LOC110487385
XM_021559344.2,LOC110487385
XM_021559461.2,LOC110487509
XM_036948024.1,LOC110487509
XM_036948109.1,LOC110487509
XM_036948254.1,LOC110487509
XM_036948221.1,LOC110487509
XM_036948172.1,LOC110487509
XM_036948336.1,LOC110487584
XM_021559606.2,LOC110487655
XM_036948429.1,LOC110487655
NM_001160664.2,annotated by transcript or proteomic data
XM_021559777.2,LOC110487829
XM_036948626.1,LOC110487930
XM_021559962.2,LOC110487930
XM_021559884.2,LOC110487930
XR_005036800.1,LOC118940256
XM_036948947.1,LOC110488062
XM_036949018.1,LOC110488062
XM_036949172.1,LOC110488261
XM_021560454.2,LOC110488261
XM_036949361.1,LOC110488330
XM_021560575.2,LOC110488330
XM_021560677.2,LOC110488417
XM_036949549.1,LOC110488514
XM_021560770.2,LOC110488514
XM_036949599.1,LOC110488514
XM_021560886.2,vcam1b
XM_021561000.2,LOC110488652
XR_005037003.1,LOC110488740
XM_021561531.2,LOC110488740
XM_021561608.2,LOC110488740
XM_021561364.2,LOC110488740
XM_036949888.1,LOC110488740
XM_021561205.2,LOC110488740
XM_021561116.2,LOC110488740
XM_021561448.2,LOC110488740
XM_021561284.2,LOC110488740
XM_036950035.1,LOC110488740
XM_021561803.2,LOC110489111
XM_021561723.2,LOC110489111
XM_036950356.1,LOC110489303
XM_021562052.2,LOC110489303
XR_005053650.1,LOC118966767
XM_036950487.1,lrrc39
XM_021562135.2,trmt13
XM_021561923.2,sass6
XM_036950595.1,LOC110489545
XM_021562298.2,LOC110489545
XM_036950655.1,LOC110489630
XM_021562404.2,LOC110489630
XR_005037112.1,LOC110489707
XM_036950898.1,LOC110489707
XM_021562712.2,LOC110489707
XM_021562625.2,LOC110489707
XM_021562527.2,LOC110489707
XR_005039836.1,LOC118944451
XM_021562869.2,LOC110489874
XM_021563247.2,LOC110490068
XM_036951099.1,LOC110490068
XM_036951283.1,LOC110490068
XM_021563411.2,LOC110490068
XM_021563331.2,LOC110490068
XR_005037302.1,LOC110490009
XM_021563124.2,LOC110490009
XM_021562998.2,LOC110489937
XR_005053642.1,LOC118966758
XM_021563533.2,zgc:113223
XM_036951722.1,LOC110490377
XM_021563779.2,LOC110490377
XM_021563856.2,LOC110490377
XM_021563655.2,LOC110490301
XM_021563971.2,LOC110490510
NM_001160537.2,annotated by transcript or proteomic data
XM_021564171.2,LOC110490675
XM_021564225.2,LOC110490675
XM_021564309.2,cart1
XM_021564067.2,LOC110490588
XM_036952238.1,LOC110530936
XM_036952414.1,LOC110490953
XM_036952353.1,LOC110490953
XM_036952292.1,LOC110490953
XM_036952508.1,LOC110490953
XM_036952484.1,LOC110490953
XM_036952453.1,LOC110490953
XM_036952535.1,LOC110490953
XM_036952630.1,LOC110531327
XM_036952797.1,LOC110491230
XM_021564688.2,LOC110491230
XM_021564609.2,LOC110491230
XM_036952967.1,LOC110491417
XM_036952860.1,LOC110491417
XM_036952900.1,LOC110491417
XM_036952929.1,LOC110491417
XM_021614590.2,LOC110531395
XR_005037508.1,LOC118941184
XM_036953031.1,LOC110531543
XM_021565009.2,LOC110491485
XM_036953308.1,LOC110491555
XM_021565131.2,LOC110491555
XM_036953427.1,LOC118941197
XM_036953512.1,LOC118941201
XM_036953607.1,LOC118941208
XM_036953669.1,LOC118941208
XR_005037575.1,LOC118941290
XM_036953687.1,LOC118941333
XM_021565707.2,LOC110491738
XM_021565630.2,LOC110491738
XM_021565464.2,LOC110491738
XM_021565551.2,LOC110491738
XM_036954047.1,LOC118941412
XM_036953979.1,LOC118941412
XR_005037653.1,LOC118941434
XM_021566050.2,LOC110492040
XM_036954236.1,LOC110492040
XM_021603690.2,LOC100135798
XM_021611281.2,LOC100135798
NM_001124194.1,annotated by transcript or proteomic data
XM_021566330.2,LOC110492105
XM_021566250.2,LOC110492105
XM_021566167.2,LOC110492105
XM_021566464.2,ddx49
XM_021566754.2,LOC110492327
XM_021566587.2,LOC110492327
XM_021566956.2,LOC110492528
XM_036954731.1,LOC110492528
XM_021567067.2,LOC110492606
XM_036954805.1,LOC110492606
XM_021567175.2,LOC110492686
XM_021567287.2,rab3ab
XM_021567371.2,LOC110492876
XM_021567385.2,LOC110493012
XM_021567397.2,LOC110493012
XM_036955227.1,LOC110493316
XM_036955294.1,LOC110493316
XM_036955434.1,LOC110493316
XM_021567662.2,LOC110493316
XM_021567741.2,LOC110493316
XM_021568053.2,LOC110493631
XM_021567934.2,LOC110493506
XM_021567862.2,LOC110493506
XM_021567512.2,LOC110493215
XM_021568167.2,LOC110493709
XM_036955739.1,klhl26
XM_021568458.2,klhl26
XM_036955709.1,klhl26
XM_021568373.2,klhl26
XM_036955667.1,klhl26
XM_021568703.2,klhl26
XM_036955861.1,LOC110494078
XR_002469236.2,comp
XM_021568957.2,comp
XM_021569135.2,LOC110494221
XM_021569453.2,smim7
XM_021569255.2,LOC110494277
XM_021569333.2,LOC110494277
XM_036956096.1,LOC110494277
XR_005038000.1,LOC118942066
XM_021569587.2,slc35e1
XM_021569713.2,LOC110494533
XM_021569798.2,LOC110494533
XR_005038398.1,LOC118942412
XM_021569921.2,pex11g
XM_021570045.2,si:ch73-40i7.5
XM_021570121.2,si:ch73-40i7.5
XM_021570221.2,zgc:172302
XM_021570287.2,zgc:172302
XM_036956644.1,LOC110495007
XM_021570393.2,LOC110495007
XM_021570482.2,r3hdm4
XM_036956952.1,LOC110495217
XM_036956872.1,LOC110495217
XM_021570752.2,ctdspl3
XM_021570637.2,LOC110495326
XM_021570564.2,LOC110495326
XM_021615521.2,LOC110531970
XM_036957379.1,ndufs7
XM_036957504.1,ndufs7
XM_036957446.1,ndufs7
XM_036957567.1,ndufs7
XM_036957325.1,LOC110495805
XM_036957269.1,LOC110495805
XM_021571409.2,LOC110495874
XM_021571489.2,LOC110495874
XM_036957708.1,LOC110495874
XM_021571573.2,LOC110495874
XM_021571701.2,LOC110496031
XM_021571787.2,LOC110496031
XM_021571867.2,LOC110496031
XM_036957861.1,LOC110496031
XM_021572139.2,LOC110496290
XM_021572213.2,LOC110496290
XR_002469557.2,LOC110496410
XR_002469560.2,LOC110496410
XM_036958378.1,LOC118942967
XM_036989310.1,LOC118966550
XM_021572819.2,LOC110496754
XM_036958476.1,LOC110496754
XM_021572956.2,jak3
XM_021572903.2,jak3
XM_036958485.1,jak3
XM_036958559.1,slc5a5
XM_021573060.2,slc5a5
XM_021573106.2,slc5a5
XM_021573446.2,ccdc124
XR_005038787.1,kcnn1b
XM_021573172.2,kcnn1b
XM_021573328.2,kcnn1b
XM_036958882.1,LOC110497425
XM_036958845.1,LOC110497425
XM_036958927.1,LOC110497425
XR_005038806.1,LOC118943582
XM_021573900.2,LOC110497621
XR_005039941.1,LOC118944537
XM_021574921.2,xxylt1
XM_021574432.2,LOC110497920
XM_021574669.2,LOC110497920
XM_036959494.1,LOC110497920
XM_021574593.2,LOC110497920
XM_021574819.2,LOC110497920
XM_021574242.2,LOC110497762
XM_021574151.2,LOC110497762
XM_021575009.2,LOC110498361
XM_036959635.1,LOC110498532
XM_036959630.1,LOC110498532
XM_036959677.1,LOC110498532
XR_005039108.1,LOC110498635
XM_036959910.1,LOC110531985
XM_021615542.2,LOC110531985
XM_021575380.2,LOC110498717
XM_021575515.2,LOC110498717
XM_021575441.2,LOC110498717
XM_036960119.1,LOC110498717
XM_021575766.2,LOC110498717
XM_021575685.2,LOC110498717
XM_036960161.1,LOC110498717
XM_021575891.2,LOC110499030
XM_036960351.1,LOC110499030
XR_005039187.1,LOC118943879
XM_021576190.2,LOC110499138
XM_021576276.2,LOC110499138
XM_021576363.2,LOC110499138
XM_021576109.2,LOC110499138
XR_005039242.1,LOC110499356
XM_021576482.2,LOC110499356
XM_036960783.1,LOC110499356
XM_021576627.2,tnfaip8l1
XR_002469995.2,LOC110499562
XM_021576724.2,LOC110499562
XM_036961058.1,mydgf
XM_021576789.2,mydgf
XM_036961087.1,mydgf
XM_021576954.2,LOC110499862
XM_036961314.1,LOC110499955
XM_021577057.2,LOC110499955
XM_021577208.2,LOC110499955
XM_036961390.1,LOC110500115
XM_036961439.1,LOC110500115
XM_036961486.1,LOC110500115
XM_036961542.1,LOC110500115
XM_021577648.2,LOC110500307
XM_021577992.2,LOC110500387
XM_021577848.2,LOC110500387
XM_021577770.2,LOC110500387
XM_021577923.2,LOC110500387
XR_005039417.1,c1h19orf44
XR_002470155.2,c1h19orf44
XM_036961982.1,c1h19orf44
XM_021578202.2,c1h19orf44
XM_021578124.2,c1h19orf44
XM_021600208.2,calr3a
XM_036976354.1,calr3a
NM_001124478.1,annotated by transcript or proteomic data
XM_021578349.2,rad23ab
XM_036962367.1,eps15l1a
XM_036962172.1,eps15l1a
XM_036962239.1,eps15l1a
XM_021578432.2,eps15l1a
XM_036962205.1,eps15l1a
XM_036962420.1,eps15l1a
XM_036962470.1,eps15l1a
XM_036962325.1,eps15l1a
XM_021578727.2,LOC110501271
XM_036962613.1,LOC110501398
XM_021578979.2,LOC110501398
XM_036962687.1,LOC110501398
XM_036943822.1,fam32a
NM_001165071.2,annotated by transcript or proteomic data
XM_021579188.2,mrpl54
XM_021579303.2,LOC110501592
XM_021579383.2,LOC110501592
XM_021579496.2,si:ch1073-396h14.1
XM_021579701.2,LOC110501773
XM_021579631.2,LOC110501773
XM_021579773.2,LOC110501773
XM_021579881.2,LOC110501969
XM_021580022.2,tpm4a
XM_021579973.2,tpm4a
XM_021580074.2,tpm4a
XM_021580159.2,tpm4a
XM_021580480.2,LOC110502382
XM_021580403.2,LOC110502382
XM_021580282.2,LOC110502309
