Orthogroup,Salar
OG0020564,XP_014071039.1
OG0020565,XP_014019193.1
OG0020562,NP_001134503.1
OG0020563,XP_014071044.1
OG0020560,XP_014071007.1
OG0020561,XP_014071040.1
OG0026924,0
OG0026925,0
OG0026926,XP_014044749.1
OG0026927,0
OG0026920,0
OG0026921,0
OG0026922,0
OG0026923,XP_014049699.1
OG0026928,XP_013998568.1
OG0026929,0
OG0028614,0
OG0028085,XP_013978326.1
OG0028085,XP_014045248.1
OG0028084,XP_013985593.1
OG0028084,XP_014040610.1
OG0028087,XP_013979549.1
OG0028087,XP_014010842.1
OG0027031,0
OG0027030,XP_013988233.1
OG0027033,0
OG0027032,XP_014020730.1
OG0027035,0
OG0027034,0
OG0027037,0
OG0027036,0
OG0027039,0
OG0027038,XP_014017963.1
OG0028080,NP_001140133.1
OG0028080,XP_014029627.1
OG0028265,XP_014027553.1
OG0028265,XP_014027563.1
OG0028083,XP_014049737.1
OG0028083,XP_014058140.1
OG0028264,XP_014027170.1
OG0028264,XP_014041662.1
OG0028082,XP_014015557.1
OG0028267,XP_014028187.1
OG0028266,XP_014028063.1
OG0028261,XP_014023743.1
OG0028261,XP_014023749.1
OG0028617,0
OG0028260,XP_014023572.1
OG0028260,XP_014043538.1
OG0026551,0
OG0028263,XP_014026912.1
OG0028262,XP_014024396.1
OG0028610,0
OG0026076,XP_014040845.1
OG0026076,XP_014042112.1
OG0026076,XP_014050395.1
OG0026077,XP_014041181.1
OG0026074,XP_014040505.1
OG0026075,XP_014040542.1
OG0026075,XP_014041234.1
OG0026072,XP_014040277.1
OG0026072,XP_014040688.1
OG0026072,XP_014042138.1
OG0026073,XP_014040297.1
OG0026070,XP_014040232.1
OG0026070,XP_014043616.1
OG0026070,XP_014043674.1
OG0026071,XP_014040245.1
OG0026071,XP_014044936.1
OG0026071,XP_014057989.1
OG0026078,XP_014041239.1
OG0026079,XP_014041243.1
OG0026079,XP_014041803.1
OG0026079,XP_014042892.1
OG0028611,0
OG0028612,0
OG0004379,XP_013997821.1
OG0004379,XP_014033249.1
OG0004378,XP_013997837.1
OG0004378,XP_014033243.1
OG0004375,XP_014054096.1
OG0004375,XP_014068735.1
OG0004374,XP_013997861.1
OG0004374,XP_014033277.1
OG0004377,NP_001140086.2
OG0004377,XP_014033242.1
OG0004376,XP_013997851.1
OG0004376,XP_014033303.1
OG0004371,NP_001135183.1
OG0004371,XP_014033314.1
OG0004370,XP_014050861.1
OG0004370,XP_014066789.1
OG0004373,XP_013997866.1
OG0004373,XP_014033310.1
OG0004372,NP_001134178.1
OG0004372,XP_013997872.1
OG0028613,0
OG0018107,XP_013987010.1
OG0018106,XP_013986679.1
OG0018105,XP_014031233.1
OG0018104,XP_014026293.1
OG0018103,XP_014019045.1
OG0018102,XP_014070899.1
OG0018101,XP_013982878.1
OG0018100,NP_001158746.1
OG0018100,XP_014070882.1
OG0018109,XP_014001587.1
OG0018108,XP_013982783.1
OG0018108,XP_014031938.1
OG0025529,0
OG0025528,XP_014060311.1
OG0025521,0
OG0025520,0
OG0025523,0
OG0025522,XP_013995932.1
OG0025525,0
OG0025524,0
OG0025527,XP_014008136.1
OG0025526,0
OG0015899,XP_013989363.1
OG0023454,XP_014031830.1
OG0028559,0
OG0028558,0
OG0028553,0
OG0028552,0
OG0028551,0
OG0028550,0
OG0028557,0
OG0028556,0
OG0028555,0
OG0028554,0
OG0005967,XP_014012452.1
OG0005967,XP_014014298.1
OG0005966,XP_014012448.1
OG0005966,XP_014014314.1
OG0005965,XP_014012373.1
OG0005965,XP_014014361.1
OG0005964,XP_014012375.1
OG0005964,XP_014014366.1
OG0005963,XP_014012388.1
OG0005963,XP_014014374.1
OG0005962,XP_014012389.1
OG0005962,XP_014014386.1
OG0005961,XP_014012413.1
OG0005961,XP_014014434.1
OG0005960,XP_014012427.1
OG0005960,XP_014014447.1
OG0019764,XP_013990147.1
OG0019765,XP_013990152.1
OG0019766,XP_014037981.1
OG0019767,XP_013990163.1
OG0019760,XP_013990178.1
OG0019761,XP_013990137.1
OG0005969,XP_014054428.1
OG0005969,XP_014068405.1
OG0019763,XP_013990141.1
OG0021316,XP_014055565.1
OG0021317,XP_014023352.1
OG0021314,XP_014023388.1
OG0021315,XP_013991421.1
OG0021312,XP_014055624.1
OG0021313,NP_001135136.1
OG0021310,XP_014022843.1
OG0021311,XP_014030083.1
OG0021318,XP_014023347.1
OG0021319,XP_014023337.1
OG0006265,NP_001139847.1
OG0006265,XP_014039486.1
OG0006265,XP_014040662.1
OG0006264,XP_014050417.1
OG0006264,XP_014064970.1
OG0006267,XP_014050396.1
OG0006267,XP_014064901.1
OG0006266,XP_014050404.1
OG0006266,XP_014064938.1
OG0006266,XP_014064958.1
OG0006261,XP_014050376.1
OG0006261,XP_014064998.1
OG0006260,XP_014045527.1
OG0006260,XP_014050271.1
OG0006260,XP_014050278.1
OG0006260,XP_014050281.1
OG0006260,XP_014065085.1
OG0006263,XP_014064971.1
OG0006262,XP_013983290.1
OG0006262,XP_014038779.1
OG0006262,XP_014061817.1
OG0006269,XP_014064908.1
OG0006269,XP_014064915.1
OG0006268,XP_014064871.1
OG0006268,XP_014064923.1
OG0020049,XP_014017001.1
OG0020048,XP_014016971.1
OG0020041,XP_014016602.1
OG0020040,XP_014016670.1
OG0020043,NP_001167045.1
OG0020042,0
OG0020045,XP_014016952.1
OG0020044,XP_014016880.1
OG0020047,NP_001133657.1
OG0020046,XP_014016963.1
OG0004811,XP_014009715.1
OG0004811,XP_014056242.1
OG0007619,XP_013981631.1
OG0007619,XP_014061462.1
OG0007618,XP_013997138.1
OG0007618,XP_014032726.1
OG0007617,NP_001134219.1
OG0007617,XP_014032717.1
OG0007616,XP_013997102.1
OG0007616,XP_014032699.1
OG0007615,XP_014054310.1
OG0007615,XP_014068515.1
OG0007614,XP_014054308.1
OG0007614,XP_014068512.1
OG0007613,XP_014054302.1
OG0007613,XP_014068510.1
OG0007612,XP_014054371.1
OG0007612,XP_014068350.1
OG0007611,XP_014054391.1
OG0007611,XP_014068359.1
OG0007610,XP_014054392.1
OG0007610,XP_014068356.1
OG0008502,XP_014034398.1
OG0008502,XP_014063378.1
OG0008503,XP_014034402.1
OG0008503,XP_014064126.1
OG0008500,XP_014035139.1
OG0008500,XP_014063857.1
OG0008501,XP_014035142.1
OG0008501,XP_014063956.1
OG0008506,XP_014035179.1
OG0008506,XP_014064254.1
OG0008507,XP_014000661.1
OG0008507,XP_014060952.1
OG0008504,XP_014035171.1
OG0008504,XP_014064197.1
OG0008505,XP_014034443.1
OG0008505,XP_014064651.1
OG0008508,XP_014035193.1
OG0008508,XP_014064309.1
OG0008509,XP_014035196.1
OG0008509,XP_014064323.1
OG0005105,XP_014018834.1
OG0005105,XP_014070633.1
OG0005104,XP_013987723.1
OG0005104,XP_014018831.1
OG0005104,XP_014070630.1
OG0005107,NP_001133461.1
OG0005107,XP_014070564.1
OG0005106,XP_014018845.1
OG0005106,XP_014070642.1
OG0005101,XP_014018811.1
OG0005101,XP_014070585.1
OG0005100,NP_001134780.1
OG0005100,XP_014070678.1
OG0005103,XP_014031809.1
OG0005103,XP_014031810.1
OG0005103,XP_014040084.1
OG0005103,XP_014042050.1
OG0005102,NP_001133474.1
OG0005102,XP_014018805.1
OG0005109,XP_014009150.1
OG0005109,XP_014017488.1
OG0005109,XP_014070536.1
OG0005108,NP_001158789.1
OG0005108,XP_014018155.1
OG0005108,XP_014070542.1
OG0023698,0
OG0003626,XP_014016424.1
OG0003626,XP_014028003.1
OG0003627,XP_014016419.1
OG0003627,XP_014027995.1
OG0003624,XP_014016438.1
OG0003624,XP_014027942.1
OG0003625,XP_014016425.1
OG0003625,XP_014028004.1
OG0003622,NP_001167180.1
OG0003622,XP_013994180.1
OG0003623,NP_001133775.1
OG0003623,XP_014027972.1
OG0003620,XP_014016105.1
OG0003620,XP_014026950.1
OG0003620,XP_014027730.1
OG0003621,XP_014016091.1
OG0003621,XP_014026963.1
OG0003621,XP_014027742.1
OG0010358,NP_001133685.1
OG0010359,NP_001133858.1
OG0010359,XP_013987538.1
OG0000948,XP_013982807.1
OG0000948,XP_014041004.1
OG0000948,XP_014042586.1
OG0000948,XP_014042589.1
OG0000948,XP_014042720.1
OG0003628,XP_014016410.1
OG0003628,XP_014027985.1
OG0003629,XP_014016395.1
OG0003629,XP_014028034.1
OG0000949,XP_014069145.1
OG0010688,XP_014030645.1
OG0010689,NP_001133131.1
OG0010689,XP_014034016.1
OG0028339,XP_014039396.1
OG0028339,XP_014039884.1
OG0028338,XP_014039319.1
OG0010680,XP_013986114.1
OG0010680,XP_014036515.1
OG0010681,XP_014036477.1
OG0010681,XP_014036747.1
OG0010682,XP_014035998.1
OG0010682,XP_014036693.1
OG0010683,NP_001133667.1
OG0010683,XP_014035455.1
OG0010684,XP_014035370.1
OG0010684,XP_014035752.1
OG0010685,XP_013986181.1
OG0010685,XP_014035237.1
OG0010686,XP_013986173.1
OG0010686,XP_014034963.1
OG0010686,XP_014035048.1
OG0010687,XP_013986157.1
OG0010687,XP_014039764.1
OG0000946,XP_013986813.1
OG0000946,XP_014027924.1
OG0000947,XP_013982550.1
OG0000947,XP_014031349.1
OG0000947,XP_014036802.1
OG0002579,XP_013990134.1
OG0002579,XP_013990183.1
OG0002579,XP_014047596.1
OG0002578,NP_001133365.1
OG0002578,XP_013990133.1
OG0002578,XP_013990182.1
OG0006992,XP_014016586.1
OG0006992,XP_014026227.1
OG0002571,XP_013990299.1
OG0002571,XP_014000868.1
OG0002570,XP_013990286.1
OG0002570,XP_014000878.1
OG0002573,XP_013990353.1
OG0002573,XP_014000885.1
OG0002572,XP_013990341.1
OG0002572,XP_014000843.1
OG0002575,XP_013990408.1
OG0002575,XP_014000798.1
OG0002574,XP_013990401.1
OG0002574,XP_014000814.1
OG0002577,XP_013990201.1
OG0002577,XP_014047439.1
OG0002577,XP_014047441.1
OG0002576,XP_013990242.1
OG0002576,XP_014000789.1
OG0011085,XP_014051035.1
OG0011085,XP_014064621.1
OG0011084,XP_013980057.1
OG0011087,NP_001167039.1
OG0011087,XP_014064595.1
OG0011086,XP_013982824.1
OG0011086,XP_013982865.1
OG0011086,XP_014031939.1
OG0011081,XP_014021159.1
OG0011081,XP_014030142.1
OG0011080,XP_013994847.1
OG0011080,XP_014030104.1
OG0011080,XP_014043801.1
OG0011080,XP_014044937.1
OG0011080,XP_014045039.1
OG0011083,XP_013979738.1
OG0011083,XP_014004460.1
OG0011082,XP_014030145.1
OG0012260,XP_014040827.1
OG0012260,XP_014049549.1
OG0012261,XP_014049578.1
OG0012261,XP_014058562.1
OG0012261,XP_014058575.1
OG0012262,XP_014033792.1
OG0012262,XP_014049599.1
OG0012263,XP_013983125.1
OG0011089,XP_014064611.1
OG0011088,XP_013979420.1
OG0011088,XP_014025662.1
OG0011088,XP_014031981.1
OG0012266,XP_014049697.1
OG0012266,XP_014058478.1
OG0012267,XP_014041121.1
OG0012267,XP_014042067.1
OG0014786,XP_014061896.1
OG0006995,XP_014016913.1
OG0006995,XP_014026259.1
OG0014781,XP_014008269.1
OG0006994,XP_014016899.1
OG0006994,XP_014026245.1
OG0013176,XP_014014915.1
OG0013176,XP_014037034.1
OG0014783,XP_014008199.1
OG0014782,XP_014008270.1
OG0011559,XP_014038121.1
OG0011559,XP_014039458.1
OG0011558,XP_013985935.1
OG0011558,XP_014038140.1
OG0011553,XP_013985945.1
OG0011553,XP_014037778.1
OG0011552,XP_013985925.1
OG0011552,XP_014039443.1
OG0011551,XP_014037222.1
OG0011551,XP_014037373.1
OG0011550,XP_014010659.1
OG0011557,XP_014067804.1
OG0011556,XP_014055017.1
OG0011556,XP_014067587.1
OG0011555,XP_014053981.1
OG0011555,XP_014068826.1
OG0011554,XP_014062425.1
OG0012198,XP_013985271.1
OG0012199,XP_013992207.1
OG0012199,XP_013992242.1
OG0012196,XP_014011218.1
OG0012196,XP_014015954.1
OG0012196,XP_014040276.1
OG0012197,XP_013985287.1
OG0012197,XP_013985299.1
OG0012197,XP_014040344.1
OG0012194,NP_001140131.1
OG0012194,XP_014053039.1
OG0012195,XP_013992834.1
OG0012195,XP_014052977.1
OG0012192,XP_014028046.1
OG0012193,XP_013992588.1
OG0012193,XP_014053215.1
OG0012190,XP_013998978.1
OG0012190,XP_014028178.1
OG0012191,XP_013998898.1
OG0012191,XP_014028097.1
OG0014693,XP_013979315.1
OG0014692,XP_013979317.1
OG0014691,XP_013979275.1
OG0014690,XP_013979322.1
OG0014697,NP_001134944.1
OG0014696,XP_013979268.1
OG0014695,XP_013979277.1
OG0014694,XP_013979339.1
OG0014699,XP_013979274.1
OG0014698,XP_013979349.1
OG0009668,XP_013982936.1
OG0009668,XP_014030723.1
OG0009669,XP_014019070.1
OG0009669,XP_014070865.1
OG0009660,XP_013982840.1
OG0009660,XP_014031784.1
OG0009661,NP_001134550.1
OG0009661,XP_013982837.1
OG0009662,XP_014017431.1
OG0009662,XP_014068991.1
OG0009663,XP_014019095.1
OG0009663,XP_014070948.1
OG0009664,XP_013982868.1
OG0009665,XP_013982900.1
OG0009666,XP_014019087.1
OG0009666,XP_014044339.1
OG0009666,XP_014070883.1
OG0009667,XP_014019089.1
OG0009667,XP_014070947.1
OG0025046,0
OG0009598,XP_014034104.1
OG0009598,XP_014034420.1
OG0009599,XP_013986202.1
OG0009599,XP_014034200.1
OG0009596,XP_013986174.1
OG0009596,XP_014034860.1
OG0009597,XP_013986167.1
OG0009597,XP_013986176.1
OG0009597,XP_014034923.1
OG0009594,NP_001134295.1
OG0009594,XP_013986180.1
OG0009595,NP_001133373.1
OG0009595,XP_013986178.1
OG0009595,XP_013986188.1
OG0009592,XP_014009829.1
OG0009592,XP_014054469.1
OG0009593,XP_013986115.1
OG0009593,XP_014036038.1
OG0009590,XP_013981801.1
OG0009590,XP_014030497.1
OG0009591,XP_013986100.1
OG0009591,XP_014036074.1
OG0025045,0
OG0025042,0
OG0025043,XP_014066456.1
OG0016028,XP_014022611.1
OG0016029,NP_001167062.1
OG0025040,XP_014066748.1
OG0016022,XP_013988224.1
OG0016023,XP_014022649.1
OG0016020,XP_013988509.1
OG0016020,XP_014022330.1
OG0016021,XP_013988518.1
OG0016026,XP_013988248.1
OG0016027,XP_014022619.1
OG0016024,NP_001138896.1
OG0016025,XP_013988235.1
OG0007969,XP_014018761.1
OG0007969,XP_014070574.1
OG0007968,XP_014018767.1
OG0007968,XP_014070570.1
OG0026278,0
OG0026279,0
OG0026270,0
OG0026271,XP_014068707.1
OG0026272,0
OG0026273,0
OG0026274,0
OG0026275,XP_014047570.1
OG0026276,0
OG0026277,0
OG0022199,XP_014055708.1
OG0022198,XP_013980145.1
OG0022191,XP_013980163.1
OG0022190,XP_014071441.1
OG0022193,XP_014071374.1
OG0022192,XP_013980147.1
OG0022195,XP_014071344.1
OG0022194,XP_014071351.1
OG0022197,XP_014071248.1
OG0022196,XP_014071278.1
OG0017649,XP_014068335.1
OG0017648,XP_014068329.1
OG0017645,XP_014032598.1
OG0017644,XP_013997677.1
OG0017647,XP_014068327.1
OG0017646,XP_014033014.1
OG0017641,XP_013997291.1
OG0017640,XP_014068456.1
OG0017643,XP_013997325.1
OG0017642,XP_014032597.1
OG0023578,0
OG0023579,XP_014011113.1
OG0023574,XP_014065398.1
OG0023575,XP_014061830.1
OG0023576,XP_014012318.1
OG0023577,0
OG0023570,0
OG0023571,0
OG0023572,0
OG0023573,XP_014061814.1
OG0026502,0
OG0022229,XP_014056062.1
OG0022228,XP_014015726.1
OG0022227,XP_014015718.1
OG0022226,XP_014015691.1
OG0022225,XP_014015686.1
OG0022224,XP_014015682.1
OG0022223,XP_014015668.1
OG0022222,XP_014015666.1
OG0022221,XP_014030861.1
OG0022220,XP_014030676.1
OG0026501,XP_014049608.1
OG0026506,0
OG0026507,0
OG0026504,XP_014031918.1
OG0026505,XP_014007790.1
OG0019568,XP_014003935.1
OG0019569,XP_014003960.1
OG0019566,XP_014003859.1
OG0019567,XP_014003879.1
OG0019564,XP_014003855.1
OG0019565,XP_014003857.1
OG0019562,XP_014003843.1
OG0019563,XP_014003853.1
OG0019560,0
OG0019561,XP_014003751.1
OG0024100,XP_013993912.1
OG0024101,XP_014034336.1
OG0024101,XP_014045057.1
OG0024102,XP_014049710.1
OG0024102,XP_014058319.1
OG0024103,XP_014054437.1
OG0024104,XP_014064101.1
OG0024105,XP_014009312.1
OG0024106,XP_014001513.1
OG0024107,XP_014056370.1
OG0024108,XP_014000086.1
OG0024109,XP_013999299.1
OG0021558,NP_001135243.1
OG0021559,XP_014001082.1
OG0021550,NP_001134267.1
OG0021551,XP_014010377.1
OG0021552,XP_014010364.1
OG0021553,XP_014010362.1
OG0021554,XP_014010619.1
OG0021555,XP_014010599.1
OG0021556,XP_014010581.1
OG0021557,XP_014000999.1
OG0021888,XP_013983566.1
OG0021889,XP_013983525.1
OG0021886,XP_013983661.1
OG0021887,XP_013983420.1
OG0021884,XP_013983744.1
OG0021885,XP_014033166.1
OG0021882,XP_013983710.1
OG0021883,XP_013983716.1
OG0021880,XP_014026142.1
OG0021881,XP_014028509.1
OG0027484,0
OG0027485,0
OG0027486,XP_014008059.1
OG0027487,XP_013985224.1
OG0027480,XP_014040539.1
OG0027481,XP_014042958.1
OG0027482,XP_014038253.1
OG0027483,XP_013996750.1
OG0027488,0
OG0027489,0
OG0020689,0
OG0020688,XP_013979220.1
OG0020683,XP_013979128.1
OG0020682,XP_014010813.1
OG0020682,XP_014038607.1
OG0020682,XP_014039544.1
OG0020682,XP_014041849.1
OG0020682,XP_014043154.1
OG0020682,XP_014043200.1
OG0020681,XP_013996761.1
OG0020680,XP_013996800.1
OG0020687,XP_014004946.1
OG0020686,XP_014005129.1
OG0020685,XP_014007013.1
OG0020684,XP_013979153.1
OG0019996,XP_013987646.1
OG0006104,XP_014008339.1
OG0006104,XP_014057456.1
OG0006104,XP_014057499.1
OG0006105,XP_014008264.1
OG0006105,XP_014037945.1
OG0006105,XP_014042075.1
OG0006106,XP_014008441.1
OG0006106,XP_014037947.1
OG0006106,XP_014042074.1
OG0006107,XP_014040726.1
OG0006107,XP_014057436.1
OG0006107,XP_014057555.1
OG0006100,XP_014006718.1
OG0006100,XP_014007645.1
OG0006101,XP_014006705.1
OG0006101,XP_014007593.1
OG0006102,XP_014007528.1
OG0006102,XP_014057389.1
OG0006103,XP_014005719.1
OG0006103,XP_014007177.1
OG0006103,XP_014057454.1
OG0006108,XP_014005961.1
OG0006108,XP_014057426.1
OG0006108,XP_014057604.1
OG0006109,XP_014039200.1
OG0006109,XP_014041192.1
OG0006109,XP_014057403.1
OG0005747,XP_014060472.1
OG0005746,XP_013999736.1
OG0005746,XP_014060468.1
OG0005745,XP_013999740.1
OG0005745,XP_014060466.1
OG0005744,XP_013999743.1
OG0005744,XP_014060465.1
OG0005743,XP_013999746.1
OG0005743,XP_014060462.1
OG0005742,XP_013999749.1
OG0005742,XP_014060453.1
OG0005741,XP_013999750.1
OG0005741,XP_014060448.1
OG0005740,XP_013999765.1
OG0005740,XP_014060436.1
OG0010703,XP_013982508.1
OG0010703,XP_014031182.1
OG0005749,XP_013999734.1
OG0005749,XP_014060475.1
OG0005748,XP_013999737.1
OG0005748,XP_014060471.1
OG0001457,XP_013991313.1
OG0001457,XP_014002619.1
OG0001456,NP_001132998.1
OG0001456,NP_001133005.1
OG0001455,XP_013991397.1
OG0001455,XP_014002378.1
OG0001455,XP_014047082.1
OG0001454,XP_013991586.1
OG0001454,XP_014002298.1
OG0001453,XP_013987977.1
OG0001453,XP_014022903.1
OG0001452,NP_001133171.1
OG0001452,XP_014002147.1
OG0001451,XP_013990973.1
OG0001451,XP_014001882.1
OG0001450,XP_013990869.1
OG0001450,XP_014001165.1
OG0001450,XP_014046603.1
OG0010705,XP_013982504.1
OG0010705,XP_014031195.1
OG0001459,XP_013991206.1
OG0001459,XP_014002637.1
OG0001459,XP_014002740.1
OG0001458,XP_013991213.1
OG0001458,XP_014002635.1
OG0001458,XP_014002738.1
OG0010707,XP_014031470.1
OG0010707,XP_014039648.1
OG0010706,XP_013982551.1
OG0010706,XP_014031315.1
OG0018316,XP_013995696.1
OG0018317,NP_001266094.1
OG0018314,XP_014046441.1
OG0018315,XP_013995941.1
OG0018312,XP_013995781.1
OG0018313,XP_014046437.1
OG0018310,NP_001133251.1
OG0018311,XP_014045883.1
OG0018318,XP_014046499.1
OG0018319,XP_014046516.1
OG0016404,XP_014016552.1
OG0016405,XP_014015920.1
OG0016406,XP_014026857.1
OG0016407,XP_014027148.1
OG0016400,XP_014016022.1
OG0016400,XP_014027107.1
OG0016401,XP_014016003.1
OG0016402,XP_014015946.1
OG0016403,XP_014015934.1
OG0007079,XP_013992812.1
OG0007079,XP_014052994.1
OG0007078,NP_001133467.1
OG0007078,XP_014052996.1
OG0007077,XP_013992668.1
OG0007077,XP_014053090.1
OG0007076,XP_013992661.1
OG0007076,XP_014053087.1
OG0007075,XP_013992607.1
OG0007075,XP_014053159.1
OG0007074,XP_013992601.1
OG0007074,XP_014053165.1
OG0007073,NP_001167031.1
OG0007072,XP_013992562.1
OG0007072,XP_014053192.1
OG0007071,XP_013992559.1
OG0007071,XP_014053208.1
OG0007070,XP_013992527.1
OG0007070,XP_014053237.1
OG0019049,XP_014000619.1
OG0004713,XP_014054915.1
OG0004713,XP_014067508.1
OG0003564,XP_014016877.1
OG0003564,XP_014026287.1
OG0019041,XP_014034834.1
OG0019040,XP_014000254.1
OG0019043,XP_014013681.1
OG0019043,XP_014034848.1
OG0019042,XP_014034838.1
OG0019045,XP_014042998.1
OG0019044,XP_014034853.1
OG0019047,XP_014034906.1
OG0019046,XP_014000222.1
OG0013003,XP_014011702.1
OG0013003,XP_014062529.1
OG0013002,XP_014011610.1
OG0013002,XP_014062575.1
OG0013001,XP_014011605.1
OG0004710,XP_014009995.1
OG0004710,XP_014058545.1
OG0013007,XP_014011854.1
OG0013006,XP_014066093.1
OG0013005,XP_014011953.1
OG0013005,XP_014011963.1
OG0013004,XP_014062548.1
OG0003561,XP_014016885.1
OG0003561,XP_014026242.1
OG0013009,XP_013990035.1
OG0013009,XP_014000786.1
OG0013008,XP_014012126.1
OG0013008,XP_014039522.1
OG0004716,XP_014054924.1
OG0004716,XP_014067515.1
OG0003563,XP_014016920.1
OG0003563,XP_014026108.1
OG0003563,XP_014047057.1
OG0003562,XP_014016889.1
