Salar,Ohno_annot_binary
NP_001133871.1,1
NP_001133872.1,0
NP_001133873.1,1
NP_001133875.1,0
NP_001133876.1,1
NP_001133877.1,1
NP_001133878.1,0
NP_001133881.1,0
NP_001133883.1,0
NP_001133884.1,0
NP_001133886.1,1
NP_001133887.1,0
NP_001133888.1,0
NP_001133889.1,0
NP_001133890.1,0
NP_001133891.1,0
NP_001133892.1,0
NP_001133893.1,0
NP_001133894.1,0
NP_001133895.1,0
NP_001133897.1,0
NP_001133898.1,0
NP_001133899.1,0
NP_001133900.1,1
NP_001133901.1,0
NP_001133902.1,0
NP_001133903.1,1
NP_001133904.1,1
NP_001133905.1,0
NP_001133906.1,1
NP_001133907.1,0
NP_001133908.1,0
NP_001133910.1,0
NP_001133911.1,0
NP_001133912.1,0
NP_001133914.1,0
NP_001133916.1,0
NP_001133917.1,0
NP_001133918.1,0
NP_001133920.1,0
NP_001133921.1,0
NP_001133923.1,1
NP_001133924.1,0
NP_001133925.1,0
NP_001133926.1,1
NP_001133927.1,0
NP_001133928.1,1
NP_001133929.1,1
NP_001133930.1,0
NP_001133931.1,1
NP_001133932.1,0
NP_001133933.1,0
NP_001133934.1,0
NP_001133936.1,0
NP_001133937.1,1
NP_001133940.1,1
NP_001133941.1,0
NP_001133942.1,0
NP_001133945.1,0
NP_001133947.1,0
NP_001133949.1,0
NP_001133950.1,0
NP_001133951.1,1
NP_001133952.1,0
NP_001133953.1,0
NP_001133954.1,1
NP_001133955.1,1
NP_001133956.1,1
NP_001133957.1,0
NP_001133958.1,0
NP_001133959.1,0
NP_001133960.1,0
NP_001133962.1,1
NP_001133964.1,0
NP_001133965.1,0
NP_001133966.1,0
NP_001133967.1,0
NP_001133968.1,0
NP_001133969.1,1
NP_001133970.1,0
NP_001133971.1,0
NP_001133972.1,0
NP_001133973.1,0
NP_001133975.1,0
NP_001133976.1,0
NP_001133977.1,0
NP_001133978.1,1
NP_001133979.1,0
NP_001133980.1,0
NP_001133982.1,1
NP_001133983.1,0
NP_001133984.1,0
NP_001133985.1,0
NP_001133986.1,0
NP_001133987.1,1
NP_001133988.1,0
NP_001133989.1,0
NP_001133990.1,1
NP_001133991.1,1
NP_001133992.1,1
NP_001133993.1,0
NP_001133996.1,0
NP_001133999.1,0
NP_001134000.1,0
NP_001134002.1,0
NP_001134003.1,0
NP_001134004.1,0
NP_001134006.1,0
NP_001134007.1,0
NP_001134008.1,0
NP_001134009.1,0
NP_001134010.1,0
NP_001134011.1,1
NP_001134012.1,0
NP_001134013.1,0
NP_001134014.1,0
NP_001134015.1,0
NP_001134016.1,0
NP_001134018.1,0
NP_001134019.1,0
NP_001134020.1,1
NP_001134021.1,1
NP_001134022.1,1
NP_001134023.1,1
NP_001134026.1,1
NP_001134027.1,1
NP_001134028.1,0
NP_001134029.1,0
NP_001134031.1,1
NP_001134032.1,1
NP_001134033.1,1
NP_001134034.1,0
NP_001134035.1,0
NP_001134037.1,1
NP_001134039.1,1
NP_001134042.1,1
NP_001134045.1,0
NP_001134046.1,0
NP_001134047.1,0
NP_001134048.1,1
NP_001134051.1,0
NP_001134053.1,0
NP_001134054.1,0
NP_001134055.1,0
NP_001134056.1,0
NP_001134057.1,0
NP_001134058.1,1
NP_001134059.1,0
NP_001134062.1,0
NP_001134063.1,0
NP_001134065.1,1
NP_001134066.1,0
NP_001134067.1,0
NP_001134069.1,0
NP_001134070.1,0
NP_001134071.1,0
NP_001134072.1,1
NP_001134073.1,0
NP_001134074.1,1
NP_001134075.1,0
NP_001134076.1,0
NP_001134077.1,0
NP_001134078.1,0
NP_001134080.1,0
NP_001134082.1,1
NP_001134083.1,0
NP_001134086.1,0
NP_001134087.1,0
NP_001134088.1,0
NP_001134089.1,0
NP_001134090.1,1
NP_001134091.1,0
NP_001134092.1,0
NP_001134093.1,0
NP_001134095.1,0
NP_001134097.1,0
NP_001134101.1,0
NP_001134103.1,0
NP_001134104.1,0
NP_001134105.1,0
NP_001134106.1,0
NP_001134107.1,0
NP_001134108.1,0
NP_001134109.1,0
NP_001134110.1,0
NP_001134111.1,0
NP_001134112.1,0
NP_001134113.1,0
NP_001134114.1,0
NP_001134115.1,0
NP_001134117.1,0
NP_001134119.1,1
NP_001134120.1,0
NP_001134122.1,1
NP_001134124.1,0
NP_001134125.1,1
NP_001134127.1,0
NP_001134128.1,0
NP_001134129.1,1
NP_001134130.1,0
NP_001134132.1,0
NP_001134133.1,0
NP_001134135.1,1
NP_001134136.1,0
NP_001134137.1,1
NP_001134138.1,1
NP_001134141.1,0
NP_001134142.1,0
NP_001134144.1,1
NP_001134146.1,0
NP_001134147.1,0
NP_001134148.1,0
NP_001134149.1,0
NP_001134150.1,0
NP_001134151.1,1
NP_001134152.1,0
NP_001134153.1,0
NP_001134154.1,0
NP_001134155.1,1
NP_001134156.1,0
NP_001134157.1,0
NP_001134158.1,0
NP_001134159.1,1
NP_001134160.1,0
NP_001134163.1,1
NP_001134166.1,1
NP_001134168.1,0
NP_001134169.1,0
NP_001134170.1,0
NP_001134171.1,0
NP_001134172.1,0
NP_001134178.1,1
NP_001134179.1,0
NP_001134182.1,0
NP_001134183.1,0
NP_001134184.1,1
NP_001134187.1,0
NP_001134188.1,0
NP_001134189.1,0
NP_001134191.1,1
NP_001134192.1,0
NP_001134193.1,0
NP_001134194.1,0
NP_001134195.1,1
NP_001134196.1,0
NP_001134197.1,0
NP_001134198.1,0
NP_001134199.1,0
NP_001134200.1,0
NP_001134203.1,0
NP_001134204.1,0
NP_001134205.1,0
NP_001134206.2,0
NP_001134210.1,0
NP_001134211.1,1
NP_001134213.1,0
NP_001134215.1,0
NP_001134219.1,0
NP_001134220.1,0
NP_001134221.1,1
NP_001134223.1,0
NP_001134225.1,0
NP_001134227.1,1
NP_001134228.1,0
NP_001134230.1,0
NP_001134231.1,0
NP_001134232.1,0
NP_001134234.1,0
NP_001134236.1,0
NP_001134237.1,0
NP_001134241.1,1
NP_001134243.1,0
NP_001134244.1,0
NP_001134245.1,0
NP_001134247.1,0
NP_001134251.1,0
NP_001134252.1,1
NP_001134254.1,0
NP_001134256.1,0
NP_001134257.1,1
NP_001134258.1,1
NP_001134259.1,0
NP_001134260.1,1
NP_001134261.1,0
NP_001134263.1,0
NP_001134264.1,0
NP_001134266.1,0
NP_001134267.1,0
NP_001134269.1,1
NP_001134270.1,0
NP_001134271.1,0
NP_001134273.1,0
NP_001134274.1,0
NP_001134275.1,0
NP_001134276.1,0
NP_001134277.1,0
NP_001134278.1,0
NP_001134279.1,0
NP_001134281.1,0
NP_001134283.1,0
NP_001134284.1,0
NP_001134285.1,0
NP_001134286.1,0
NP_001134288.1,0
NP_001134292.1,0
NP_001134293.1,0
NP_001134294.1,1
NP_001134295.1,0
NP_001134296.1,0
NP_001134297.1,1
NP_001134298.1,0
NP_001134301.1,0
NP_001134302.1,0
NP_001134303.1,1
NP_001134304.1,0
NP_001134305.1,1
NP_001134306.1,0
NP_001134308.1,0
NP_001134309.1,0
NP_001134310.1,0
NP_001134311.1,0
NP_001134312.1,1
NP_001134314.1,0
NP_001134315.1,0
NP_001134316.1,0
NP_001134317.1,0
NP_001134319.1,0
NP_001134320.1,0
NP_001134321.1,0
NP_001134323.1,0
NP_001134324.1,1
NP_001134325.1,0
NP_001134326.1,0
NP_001134327.1,0
NP_001134328.1,0
NP_001134331.1,0
NP_001134333.1,0
NP_001134334.1,0
NP_001134335.1,0
NP_001134337.1,0
NP_001134338.1,0
NP_001134339.1,1
NP_001134340.1,0
NP_001134342.1,0
NP_001134343.1,0
NP_001134345.1,0
NP_001134346.1,0
NP_001134347.1,0
NP_001134348.1,0
NP_001134350.1,0
NP_001134351.1,0
NP_001134352.1,0
NP_001134354.1,0
NP_001134355.1,0
NP_001134356.1,0
NP_001134357.1,0
NP_001134358.1,0
NP_001134361.1,0
NP_001134364.1,1
NP_001134365.1,0
NP_001134366.1,0
NP_001134368.1,0
NP_001134369.1,1
NP_001134370.1,1
NP_001134372.1,0
NP_001134373.2,0
NP_001134374.1,0
NP_001134375.1,0
NP_001134376.1,0
NP_001134378.1,0
NP_001134379.1,1
NP_001134380.1,0
NP_001134381.1,1
NP_001134382.1,0
NP_001134383.1,0
NP_001134384.1,0
NP_001134386.1,0
NP_001134387.1,0
NP_001134390.1,0
NP_001134391.1,0
NP_001134392.1,0
NP_001134393.1,0
NP_001134394.1,0
NP_001134395.1,0
NP_001134396.1,0
NP_001134397.1,0
NP_001134398.1,0
NP_001134399.1,0
NP_001134400.1,1
NP_001134402.1,0
NP_001134403.1,0
NP_001134404.1,1
NP_001134406.1,0
NP_001134407.1,0
NP_001134408.1,0
NP_001134409.1,0
NP_001134411.1,0
NP_001134412.1,0
NP_001134414.1,0
NP_001134415.1,0
NP_001134416.1,1
NP_001134417.1,0
NP_001134418.1,0
NP_001134420.1,0
NP_001134421.1,1
NP_001134422.1,0
NP_001134423.1,0
NP_001134424.1,0
NP_001134425.1,0
NP_001134426.1,0
NP_001134427.1,0
NP_001134429.1,0
NP_001134430.1,1
NP_001134431.1,0
NP_001134432.1,0
NP_001134433.1,0
NP_001134435.1,0
NP_001134437.1,1
NP_001134440.1,0
NP_001134442.1,0
NP_001134443.1,0
